N = 100, T = 0.010000/kb, dim = 2, max displacement = 0.200000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
0 0.010000 0.000000
1 0.010000 0.000000
2 0.010000 0.000000
3 0.010000 0.000000
4 0.010000 0.000000
5 0.010000 0.000000
6 0.010000 0.000000
7 0.010000 0.000000
8 0.010000 0.000000
9 0.010000 0.000000
10 0.010000 0.000000
11 0.010000 0.000000
12 0.010000 0.000000
13 0.010000 -0.011895
14 0.010000 -0.026091
15 0.010000 -0.044015
16 0.010000 -0.031793
17 0.010000 -0.031793
18 0.010000 -0.052732
19 0.010000 -0.097510
20 0.010000 -0.097510
21 0.010000 -0.097510
22 0.010000 -0.162272
23 0.010000 -0.324498
24 0.010000 -0.343346
25 0.010000 -0.434365
26 0.010000 -0.814738
27 0.010000 -0.834242
28 0.010000 -1.005219
29 0.010000 -1.031280
30 0.010000 -1.354425
31 0.010000 -1.325747
32 0.010000 -1.377756
33 0.010000 -1.438508
34 0.010000 -1.792701
35 0.010000 -2.145364
36 0.010000 -2.324201
37 0.010000 -2.668018
38 0.010000 -2.681179
39 0.010000 -3.036803
40 0.010000 -3.170340
41 0.010000 -3.255088
42 0.010000 -3.475231
43 0.010000 -3.635601
44 0.010000 -3.971338
45 0.010000 -4.529455
46 0.010000 -4.629707
47 0.010000 -4.946102
48 0.010000 -5.820158
49 0.010000 -6.997680
50 0.010000 -7.830143
51 0.010000 -9.096152
52 0.010000 -9.646155
53 0.010000 -9.835622
54 0.010000 -9.864230
55 0.010000 -9.834949
56 0.010000 -9.840008
57 0.010000 -9.954022
58 0.010000 -9.936734
59 0.010000 -9.959774
60 0.010000 -10.009379
61 0.010000 -10.056883
62 0.010000 -10.071143
63 0.010000 -10.258918
64 0.010000 -10.441964
65 0.010000 -10.496185
66 0.010000 -10.605296
67 0.010000 -10.960533
68 0.010000 -11.954839
69 0.010000 -13.188039
70 0.010000 -14.581912
71 0.010000 -15.079687
72 0.010000 -15.730288
73 0.010000 -16.075686
