N = 100, T = 10.000000/kb, dim = 2, max displacement = 2.000000, seed = 22, box = 40.000000x40.000000x40.000000
cycle T E
0 10.000000 0.000000
1 10.000000 0.000000
2 10.000000 -0.263505
3 10.000000 -1.808452
4 10.000000 -5.224542
5 10.000000 -4.114412
6 10.000000 -5.681837
7 10.000000 4.226886
8 10.000000 3.967860
9 10.000000 -8.150748
10 10.000000 -4.901157
11 10.000000 40.047787
12 10.000000 -13.191183
13 10.000000 -11.954971
14 10.000000 -14.246553
15 10.000000 -8.915185
16 10.000000 -8.927014
17 10.000000 -7.559699
18 10.000000 -4.785439
19 10.000000 -7.149994
20 10.000000 0.551128
21 10.000000 0.957399
22 10.000000 10.814359
23 10.000000 6.270936
24 10.000000 -11.489323
25 10.000000 -2.728650
26 10.000000 -13.103710
27 10.000000 20.197863
28 10.000000 9.767094
29 10.000000 24.483450
30 10.000000 -8.932848
31 10.000000 -10.975787
32 10.000000 -5.377698
33 10.000000 -4.271633
34 10.000000 0.234550
35 10.000000 0.400248
36 10.000000 -8.938337
37 10.000000 38.054260
38 10.000000 0.442968
39 10.000000 0.143701
40 10.000000 -8.686771
41 10.000000 -4.178591
42 10.000000 -10.253890
43 10.000000 -10.067031
44 10.000000 -10.423408
45 10.000000 -2.912889
46 10.000000 -11.979881
47 10.000000 -10.705819
48 10.000000 -8.385469
49 10.000000 -4.778888
50 10.000000 -12.836485
51 10.000000 -12.118215
52 10.000000 -10.818550
53 10.000000 -9.866701
54 10.000000 -7.657438
55 10.000000 -12.203776
56 10.000000 -8.263126
57 10.000000 -12.436354
58 10.000000 -9.506095
59 10.000000 2.327047
60 10.000000 13.281654
61 10.000000 -5.603865
62 10.000000 -10.626670
63 10.000000 -5.103851
64 10.000000 1.387214
65 10.000000 -10.551325
66 10.000000 -7.765881
67 10.000000 -9.697957
68 10.000000 16.040988
69 10.000000 29.818070
70 10.000000 -4.815082
71 10.000000 -7.077319
72 10.000000 46.127112
73 10.000000 -0.615984
74 10.000000 -0.113247
75 10.000000 -11.041979
76 10.000000 -6.244562
77 10.000000 3.774135
78 10.000000 -9.017979
79 10.000000 -10.963263
80 10.000000 -5.449993
81 10.000000 -10.573734
82 10.000000 -11.635968
83 10.000000 -6.911424
84 10.000000 -9.166640
85 10.000000 -8.744763
86 10.000000 -14.967505
87 10.000000 -4.612913
88 10.000000 -3.054078
89 10.000000 -12.548730
90 10.000000 -2.047664
91 10.000000 -5.696595
92 10.000000 8.225023
93 10.000000 -11.590499
94 10.000000 21.456366
95 10.000000 7.389571
96 10.000000 23.058153
97 10.000000 6.702689
98 10.000000 4.513561
99 10.000000 4.498511
100 10.000000 9.315095
101 10.000000 25.045082
102 10.000000 -8.784518
103 10.000000 -6.786514
104 10.000000 -2.609166
105 10.000000 2.605626
106 10.000000 43.102551
107 10.000000 14.309377
108 10.000000 3.962152
109 10.000000 -11.237342
110 10.000000 -13.506685
111 10.000000 -3.641179
112 10.000000 -10.959517
113 10.000000 -5.221820
114 10.000000 -10.487890
115 10.000000 -8.144067
116 10.000000 -9.916060
117 10.000000 -7.812095
118 10.000000 -13.358372
119 10.000000 -5.896246
120 10.000000 -3.324059
121 10.000000 23.426022
122 10.000000 0.772905
123 10.000000 -0.769957
124 10.000000 -0.219008
125 10.000000 -10.690126
126 10.000000 -0.368022
127 10.000000 -8.517115
128 10.000000 -8.682290
129 10.000000 -6.595038
130 10.000000 -1.756918
131 10.000000 4.333001
132 10.000000 6.455170
133 10.000000 1.214406
134 10.000000 -2.710948
135 10.000000 -4.439481
136 10.000000 1.814855
137 10.000000 0.570816
