N = 1000, T = 10.000000/kb, dim = 3, max displacement = 0.040000, seed = 22, box = 6.000000x6.000000x6.000000x6.000000
cycle T E P
0 10.000000 5342505.658720 102256.130505
1 10.000000 5342505.658720 102256.130505
2 10.000000 5342505.658720 102256.130505
3 10.000000 5342505.658720 102256.130505
4 10.000000 5342505.658720 102256.130505
5 10.000000 5342550.246202 102256.961239
6 10.000000 5342550.246202 102256.961239
7 10.000000 5342557.006723 102257.087199
8 10.000000 5342582.549562 102257.563104
9 10.000000 5342588.469288 102257.673398
10 10.000000 5342588.469288 102257.673398
11 10.000000 5342588.469288 102257.673398
12 10.000000 5342607.654254 102258.030844
13 10.000000 5342630.436094 102258.455309
14 10.000000 5342630.436094 102258.455309
15 10.000000 5342636.983076 102258.577283
16 10.000000 5342647.094372 102258.765673
17 10.000000 5342647.094372 102258.765673
18 10.000000 5342647.094372 102258.765673
19 10.000000 5342647.094372 102258.765673
20 10.000000 5342647.094372 102258.765673
21 10.000000 5342647.094372 102258.765673
22 10.000000 5342655.305554 102258.918661
23 10.000000 5342663.833844 102259.077557
24 10.000000 5342665.791403 102259.114030
25 10.000000 5342665.791403 102259.114030
26 10.000000 5342673.484400 102259.257363
27 10.000000 5342673.484400 102259.257363
28 10.000000 5342702.502354 102259.798012
29 10.000000 5342702.502354 102259.798012
30 10.000000 5342702.502354 102259.798012
31 10.000000 5342718.018855 102260.087109
32 10.000000 5342710.523127 102259.947458
33 10.000000 5342710.523127 102259.947458
34 10.000000 5342710.523127 102259.947458
35 10.000000 5342745.396601 102260.597204
36 10.000000 5342753.551827 102260.749149
37 10.000000 5342753.551827 102260.749149
38 10.000000 5342753.551827 102260.749149
39 10.000000 5342753.551827 102260.749149
40 10.000000 5342753.551827 102260.749149
41 10.000000 5342772.307367 102261.098575
42 10.000000 5342772.307367 102261.098575
43 10.000000 5342776.690199 102261.180232
44 10.000000 5342776.690199 102261.180232
45 10.000000 5342776.690199 102261.180232
46 10.000000 5342793.523287 102261.493861
47 10.000000 5342822.624520 102262.035945
48 10.000000 5342883.056769 102263.161897
49 10.000000 5342883.056769 102263.161897
50 10.000000 5342883.056769 102263.161897
51 10.000000 5342883.056769 102263.161897
52 10.000000 5342883.056769 102263.161897
53 10.000000 5342884.560307 102263.189906
54 10.000000 5342884.560307 102263.189906
55 10.000000 5342884.560307 102263.189906
56 10.000000 5342884.560307 102263.189906
57 10.000000 5342884.560307 102263.189906
58 10.000000 5342884.560307 102263.189906
59 10.000000 5342906.932684 102263.606746
60 10.000000 5342906.932684 102263.606746
61 10.000000 5342914.059756 102263.739520
62 10.000000 5342914.059756 102263.739520
63 10.000000 5342923.027979 102263.906347
64 10.000000 5342923.633938 102263.917640
65 10.000000 5342923.633938 102263.917640
66 10.000000 5342942.807379 102264.274833
67 10.000000 5342942.807379 102264.274833
68 10.000000 5342942.807379 102264.274833
69 10.000000 5342966.155880 102264.709864
70 10.000000 5342966.155880 102264.709864
71 10.000000 5342966.155880 102264.709864
72 10.000000 5342966.155880 102264.709864
73 10.000000 5342966.155880 102264.709864
74 10.000000 5342966.155880 102264.709864
75 10.000000 5342990.071001 102265.155589
76 10.000000 5342990.071001 102265.155589
77 10.000000 5343009.112808 102265.510450
78 10.000000 5343021.337581 102265.738217
79 10.000000 5343021.337581 102265.738217
80 10.000000 5343031.792085 102265.933002
81 10.000000 5343061.634911 102266.489025
82 10.000000 5343099.894762 102267.201913
83 10.000000 5343151.162693 102268.157093
84 10.000000 5343155.402570 102268.236028
85 10.000000 5343176.506984 102268.629250
86 10.000000 5343176.506984 102268.629250
87 10.000000 5343176.506984 102268.629250
88 10.000000 5343178.738161 102268.670826
89 10.000000 5343186.923236 102268.823288
90 10.000000 5343209.003814 102269.234615
91 10.000000 5343209.003814 102269.234615
92 10.000000 5343210.807606 102269.268222
93 10.000000 5343209.278813 102269.239663
94 10.000000 5343209.278813 102269.239663
95 10.000000 5343209.278813 102269.239663
96 10.000000 5343214.806384 102269.342685
97 10.000000 5343222.705354 102269.489861
98 10.000000 5343228.579423 102269.599305
99 10.000000 5343228.579423 102269.599305
100 10.000000 5343228.579423 102269.599305
